time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.021412299999610696,0,0,16,3,2,-3
0.021527400000195485,0,0,16,3,2,-3
0.021433900000374706,0,0,15,3,2,-3
0.022452700000030745,0,0,16,3,2,-3
0.021997199999532313,0,0,16,3,2,-3
0.022968700000092213,0,0,16,3,2,-3
0.02142970000022615,0,0,15,2,2,-2
0.021524800000406685,0,0,15,2,2,-2
0.021894499999689288,0,0,15,2,2,-2
0.02196769999954995,0,0,15,2,2,-2
0.021979400000418536,0,0,15,2,2,-2
0.02249599999959173,0,0,16,2,2,-2
0.021926400000666035,0,0,15,2,2,-2
0.0209936999999627,0,0,14,1,2,-2
0.021426599999358587,0,0,14,1,2,-1
0.021480500000507163,0,0,14,1,2,-1
0.02147049999985029,0,0,14,1,2,-1
0.022541199999977835,0,0,15,1,2,-1
0.021830200000295008,0,0,14,1,2,-1
0.021649299999808136,0,0,14,1,2,-1
0.021311700000296696,0,0,14,1,2,-1
0.021968099999867263,0,0,14,1,2,-1
0.021006799999668146,0,0,14,1,2,-1
0.02195209999990766,0,0,14,1,2,-1
0.021930699999757053,0,0,14,1,2,-1
0.022045900000193797,0,0,14,1,2,-1
0.02236170000014681,0,0,14,1,2,-1
0.022097000000030675,0,0,14,1,2,-1
0.022378499999831547,0,0,14,1,2,-1
0.021455000000059954,0,0,13,1,2,-1
0.020982300000468967,0,0,13,1,2,-1
0.020940999999766063,0,0,13,1,2,-1
0.02171619999990071,0,0,13,1,2,-1
0.02030509999985952,0,0,13,0,2,0
0.021893099999942933,0,0,13,1,2,-1
0.021415600000182167,0,0,13,0,2,0
0.021130299999640556,0,0,13,0,2,0
0.021339200000511482,0,0,13,0,2,0
0.021569200000158162,0,0,13,0,2,0
0.021339099999750033,0,0,13,0,2,0
0.02111349999995582,0,0,13,0,2,0
0.02081830000042828,0,0,12,0,2,0
0.022478999999293592,0,1,13,0,2,0
0.0214616000002934,0,1,13,0,2,0
0.022113699999863456,0,1,13,0,2,0
0.02128900000025169,0,1,13,0,2,0
0.021518599999581056,0,1,12,0,2,0
0.020951500000592205,0,1,12,0,2,0
0.021014500000092085,0,1,12,0,2,0
0.04390609999973094,0,0,-9,-1,-4,1
0.0209975999996459,0,0,-9,-1,-4,1
0.02250720000029105,0,0,-9,-1,-4,1
0.021895199999562465,0,0,-9,-1,-4,1
0.022939299999961804,0,0,-10,-1,-4,1
0.020931100000780134,0,0,-9,-1,-4,1
0.02207619999990129,0,0,-9,-1,-4,1
0.02146230000016658,0,0,-9,-1,-4,1
0.022905999999238702,0,0,-10,-1,-4,1
0.02248680000047898,0,0,-10,-1,-4,1
0.022363799999766343,0,0,-10,-1,-4,1
0.021040800000264426,0,0,-9,-1,-4,1
0.02101279999988037,0,0,-9,-1,-4,1
0.022992999999587482,0,0,-10,-2,-4,2
0.022856100000353763,0,0,-10,-2,-4,2
0.022506000000248605,0,0,-10,-2,-4,2
0.021437800000057905,0,0,-10,-2,-4,2
0.02206209999985731,0,0,-10,-2,-4,2
0.02040599999963888,0,0,-10,-2,-3,2
0.02103499999975611,0,0,-10,-2,-3,2
0.02138660000036907,0,0,-10,-2,-4,2
0.020958299999620067,0,0,-10,-2,-3,2
0.020965800000340096,0,0,-10,-3,-3,3
0.021541099999922153,0,0,-10,-3,-3,3
0.021879099999750906,0,0,-11,-3,-4,3
0.02106180000009772,0,0,-10,-3,-3,3
0.02092240000001766,0,0,-10,-4,-3,4
0.022923999999875377,0,0,-12,-4,-4,4
0.02146050000010291,0,0,-11,-4,-3,4
0.021471100000781007,0,0,-11,-5,-3,5
0.021500099999684608,0,0,-11,-5,-3,5
0.02144270000007964,0,0,-11,-5,-3,5
0.021552000000156113,0,0,-11,-6,-3,6
0.023087999999916065,0,0,-12,-7,-3,7
0.02124699999967561,0,0,-12,-7,-3,7
0.020948200000020734,0,0,-11,-8,-3,8
0.0209898000002795,0,0,-12,-8,-3,8
0.021488100000169652,0,0,-12,-9,-3,9
0.02195549999942159,0,0,-12,-10,-3,10
0.02099350000025879,0,0,-12,-11,-2,11
0.02288719999978639,0,0,-13,-13,-3,13
0.020978700000341632,0,0,-12,-13,-2,13
0.02098059999934776,0,0,-12,-14,-2,14
0.02207390000057785,0,0,-12,-16,-2,16
0.022877999999764143,0,0,-13,-18,-2,18
0.02145939999991242,0,0,-12,-18,-1,18
0.02151140000023588,0,0,-12,-19,-1,19
0.02149490000010701,0,0,-12,-20,-1,20
0.02189170000019658,0,0,-13,-22,0,22
0.021456499999658263,0,0,-13,-22,0,22
0.020981900000151654,0,0,-12,-21,0,21
0.022463000000243483,0,0,-13,-23,0,23
0.021603999999570078,0,0,-13,-21,0,21
0.021319800000128453,0,0,-13,-20,1,20
0.021980200000143668,0,0,-13,-20,1,20
0.024016999999730615,0,0,-14,-20,2,20
0.02187580000008893,0,0,-13,-17,2,17
0.022971399999732967,0,0,-14,-16,2,16
0.020958600000085426,0,0,-13,-14,2,14
0.021059100000456965,0,0,-13,-13,2,13
0.020416800000020885,0,0,-13,-11,2,11
0.02146109999921464,0,0,-13,-11,3,11
0.02143060000071273,0,0,-14,-10,3,10
0.022291199999926903,0,0,-14,-9,3,9
0.020180900000013935,0,0,-13,-8,3,8
0.022437900000113586,0,0,-14,-8,3,8
0.022488499999781197,0,0,-14,-7,3,7
0.021505900000192923,0,0,-14,-6,3,6
0.021842199999809964,0,0,-14,-6,3,6
0.021064699999442382,0,0,-14,-5,3,5
0.022967600000811217,0,0,-15,-5,4,5
0.02138669999931153,0,0,-14,-4,3,4
0.022480100000393577,0,0,-15,-4,4,4
0.022191799999745854,0,0,-15,-4,4,4
0.021819300000061048,0,0,-15,-4,4,4
0.022402700000384357,0,0,-16,-3,4,3
0.020983200000046054,0,0,-14,-3,3,3
0.022416999999222753,0,0,-16,-3,4,3
0.021518900000046415,0,0,-15,-3,4,3
0.022377500000402506,0,0,-16,-3,4,3
0.020994700000301236,0,0,-14,-2,4,2
0.021091300000080082,0,0,-15,-2,4,2
0.022918299999219016,0,0,-16,-2,4,2
0.022409700000025623,0,0,-16,-2,4,2
0.02151750000030006,0,0,-16,-2,4,2
0.022401500000341912,0,0,-16,-2,4,2
0.02148380000016914,0,0,-16,-1,4,1
0.021476199999597156,0,0,-16,-1,4,1
0.021033600000009756,0,0,-16,-1,4,1
0.022879399999510497,0,0,-17,-1,4,1
0.020933500000865024,0,0,-16,-1,4,1
0.020998299999519077,0,0,-16,-1,4,1
0.022697899999911897,0,0,-17,-1,4,1
0.0207418999998481,0,0,-16,-1,4,1
0.021501400000488502,0,0,-16,-1,4,1
0.02242630000000645,0,0,-17,-1,4,1
0.020961600000191538,0,0,-16,-1,4,1
0.021950899999865214,0,0,-17,-1,4,1
0.021497400000043854,0,0,-17,-1,4,1
0.02194069999950443,0,0,-17,-1,4,1
0.0214960000002975,0,0,-17,-1,4,1
0.021471699999892735,0,0,-17,-1,4,1
0.021435700000438374,0,0,-17,0,4,0
0.020957699999598844,0,0,-17,0,4,0
0.021006799999668146,0,0,-17,0,4,0
0.021422200000415614,0,0,-17,0,4,0
