time,angles_j1,angles_j2,angles_j3,angles_j4,angles_j5,angles_j6
0.0007576999996672384,-1.1102230246251565e-16,0.00015417720306709626,0.0005228947459989253,-0.0011927636897861582,0.00042553142064849503,0.001303853759142104
0.020147499999438878,0.0,0.001728533691473938,0.005718125188527101,-0.01328503849340601,0.004638155061722993,0.014506276418492003
0.0006880000000819564,0.0,7.089520100457547e-05,0.00022918898340953953,-0.0005417844663742066,0.00018527187434747017,0.000590978220505356
0.021244100003968924,5.551115123125783e-17,0.001884833338865799,0.005947882969348339,-0.014321100448159818,0.004790390583488069,0.015604388419385273
0.000654499999654945,1.6653345369377348e-16,7.107928584627887e-05,0.00021906580198108316,-0.0005371780924123826,0.00017573852615726526,0.0005846883308544548
0.020915000000968575,-5.551115123125783e-17,0.0019170245007512632,0.00577302318168138,-0.014413844696914868,0.004612290307013878,0.015672330458694983
0.0007028999971225858,-1.1102230246251565e-16,7.847109002014074e-05,0.00023095491575789162,-0.0005870777845471409,0.00018372141319694668,0.0006376921035160521
0.021188300001085736,5.551115123125783e-17,0.0020204283511598975,0.005811582460922726,-0.0150461001605664,0.004600910925215473,0.01632655674227168
0.0007522000014432706,5.551115123125783e-17,7.743822779915366e-05,0.00021778450629131307,-0.0005741483240448986,0.00017156281130947804,0.0006223897179888915
0.0212381999954232,-1.6653345369377348e-16,0.00210090011163655,0.005776515723312642,-0.0155114274961492,0.004526080607275662,0.01679797294435037
0.0008768000043346547,1.1102230246251565e-16,7.828719759415959e-05,0.00021048157207775864,-0.0005755559845983527,0.00016400691546747392,0.000622698822859924
0.02098390000173822,0.0,0.0021623174031972503,0.005686841244456314,-0.015837089793651504,0.004404777914907343,0.017117821771100328
0.0006579999972018413,0.0,7.48625807958786e-05,0.00019260866495435236,-0.0005461586859367706,0.00014828355779927804,0.0005897814534834289
0.02077350000035949,1.1102230246251565e-16,0.002193799445452893,0.005525326158367122,-0.01594526118256745,0.004226740321543465,0.01720378152295865
0.0006130999972810969,-1.6653345369377348e-16,7.288783403507082e-05,0.00017979949174340426,-0.0005280107597300798,0.00013662180382045808,0.0005691930505031806
0.020943800001987256,-5.551115123125783e-17,0.0022644628673387512,0.005470048536073441,-0.016347727650962707,0.004127145853352832,0.017607857362210932
0.0006355000004987232,0.0,8.616389528991186e-05,0.0002038189715971861,-0.0006199346348116919,0.00015265508374606718,0.0006671622277267808
0.02078790000086883,5.551115123125783e-17,0.0023247211605399304,0.005387844401409048,-0.016679076039848084,0.004003525702443833,0.017934494073287066
0.0006680000005871989,0.0,8.220580965129232e-05,0.00018673312696523836,-0.0005881822659841163,0.00013760388042105554,0.0006319427982695025
0.02095769999868935,0.0,0.002397063950292988,0.005336174209883027,-0.017101211588816057,0.003897904703092425,0.018359186214967016
0.0007761000015307218,1.1102230246251565e-16,0.00010454004275529949,0.00022814180422173203,-0.0007439386151584237,0.0001651100354324031,0.0007980354296479586
0.021096899996337015,5.551115123125783e-17,0.002504165076512299,0.005356626483507099,-0.017777623912369922,0.0038384142475007543,0.019055218455078737
0.0006886000046506524,-1.6653345369377348e-16,9.924939037714298e-05,0.0002080681608200574,-0.0007026612380727215,0.00014756571279200825,0.0007525963395567103
0.02118499999778578,0.0,0.0025829300809917938,0.005308528284132474,-0.018239251939832446,0.003723727881504768,0.019521218994367873
0.0006452000015997328,0.0,8.925829568061372e-05,0.00017987161638657878,-0.0006287039844710129,0.00012475323396426985,0.000672410766180187
0.02083219999622088,0.0,0.002609095223074148,0.005157092914890082,-0.018331249152645945,0.003534924986479282,0.019592125708360664
0.000676800002111122,5.551115123125783e-17,8.901605681167768e-05,0.00017260149720685347,-0.0006238433217915507,0.00011686884567707612,0.0006663076661048706
1.2243577999979607,-0.0025489038180956936,0.007635437551198332,-0.008428718654749062,0.004014910487579293,0.0018119103458189012,-0.005125690244526471
0.0006348000024445355,-8.907772628868882e-05,0.00026861115944704084,-0.00029751669506061784,0.00014401449939516198,6.266980289232338e-05,-0.00018298315978682034
0.020832000001973938,-0.0025045707076412627,0.0076038772800967325,-0.008450745779139707,0.004156283897283952,0.0017431323666295406,-0.005256277215022642
0.0006539999958476983,-8.862794848407685e-05,0.0002709003729245013,-0.00030208037664139487,0.00015086966242838784,6.1002102564933214e-05,-0.00018994371268599153
0.020803500003239606,-0.009200698730809642,0.004851049137457972,-0.0054212912195543694,0.009504926858346696,0.007522151413400735,-0.013130015408646
0.0006409999987226911,-0.00030861624454386893,0.00016503371833315184,-0.00018483316884282397,0.0003289670003860934,0.0002512682505741437,-0.0004505206392371175
0.020850100001553074,-0.009110555710441892,0.004940440500846882,-0.005545245211519723,0.010024380339719752,0.0073855835997659325,-0.01361087207455225
0.0006542999981320463,-0.000328943167503426,0.0001808656189649649,-0.00020343773098707718,0.0003734608520522542,0.0002654759939780815,-0.0005028829253710398
